Latitude,Longitude,events-metadata-0,events-metadata-1
39.3053467,-76.59286,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.31041,-76.626983,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3118117,-76.632617,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.314184,-76.635583,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.31546,-76.643712,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3115717,-76.63967,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3136083,-76.64643,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3133283,-76.650277,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3106933,-76.648153,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3112133,-76.652718,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3105433,-76.659457,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3083367,-76.659328,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.30601,-76.659557,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3044933,-76.662937,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3039817,-76.65523,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.307554,-76.653668,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3047367,-76.652743,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3095583,-76.651462,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3073433,-76.650232,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.304945,-76.649328,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.308885,-76.647973,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.30778,-76.645108,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.304315,-76.642908,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.30487,-76.646607,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3098983,-76.64159,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3064383,-76.640423,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3094317,-76.636553,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3067933,-76.636433,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.30951,-76.633532,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.30311,-76.627948,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3013733,-76.626522,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2985083,-76.62658,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2959333,-76.62631,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2961217,-76.629857,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2998383,-76.630357,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3047133,-76.631773,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3035183,-76.635807,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.295045,-76.640088,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2976517,-76.640318,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3000933,-76.64246,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.297811,-76.644106,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3018383,-76.645195,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2952483,-76.649348,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2979583,-76.650433,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3019833,-76.652983,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2988333,-76.652242,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3002283,-76.655338,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3025317,-76.663495,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2983633,-76.665283,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2946217,-76.66483,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2937883,-76.659058,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.294665,-76.653058,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2894817,-76.66143,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2894417,-76.65792,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2915967,-76.653735,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2902217,-76.651422,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2924567,-76.649635,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2885833,-76.649755,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.289393,-76.645615,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.29179,-76.640845,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2914267,-76.646833,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.290045,-76.640007,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2923033,-76.634342,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2912983,-76.630902,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2931617,-76.6284,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.29155,-76.626455,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2887117,-76.62747,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2862233,-76.62668,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2876367,-76.633037,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.285657,-76.637948,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2881133,-76.638648,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2869983,-76.64273,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2848883,-76.643905,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28743,-76.647523,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.284287,-76.65008,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.285583,-76.654024,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28764,-76.654213,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28281,-76.630767,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.286295,-76.659092,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2823867,-76.6565,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2812783,-76.653933,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2816633,-76.650222,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.279738,-76.649682,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2832917,-76.646882,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2817417,-76.643742,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2758267,-76.643753,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28323,-76.64075,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2818533,-76.638332,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.278071,-76.638888,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.279745,-76.635923,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2767483,-76.635428,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2770433,-76.631158,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2798567,-76.629337,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2809267,-76.632982,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2824017,-76.63495,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.284705,-76.633683,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2837833,-76.628857,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2826933,-76.626987,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3146933,-76.628522,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.316515,-76.632245,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.31374,-76.631568,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3174233,-76.647132,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3254317,-76.658517,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.323225,-76.661035,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3220517,-76.663293,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3197017,-76.662847,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3151817,-76.663505,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.31001,-76.661853,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3147867,-76.654407,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3128217,-76.656788,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.314965,-76.658478,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.32105,-76.65862,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.316685,-76.652553,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3167817,-76.653868,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3170917,-76.658473,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.285301,-76.630213,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3004083,-76.663372,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.297585,-76.659005,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2998067,-76.639065,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3138583,-76.660305,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2798083,-76.647242,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3018,-76.635888,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.305475,-76.64387,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2954717,-76.597885,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.29566,-76.59346,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2933017,-76.587927,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2954017,-76.579692,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3130267,-76.564748,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3214567,-76.56595,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.32439,-76.57264,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3216983,-76.602362,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.325875,-76.586055,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.319795,-76.615267,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.296915,-76.597932,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3035033,-76.599123,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3149367,-76.560973,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.317826,-76.585278,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.318725,-76.593335,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3247433,-76.599603,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3119017,-76.61317,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.303525,-76.604745,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3067267,-76.598455,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.313418,-76.594957,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3131683,-76.60579,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3125417,-76.587418,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3075933,-76.586693,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3086733,-76.580913,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3053033,-76.583837,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2997633,-76.575188,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.29779,-76.58571,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3100067,-76.573425,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3151633,-76.569,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.32199,-76.587878,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3155733,-76.601798,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3178583,-76.61103,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.316305,-76.618498,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2980117,-76.613053,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.295463,-76.613348,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2936767,-76.609128,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.295285,-76.60559,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3002,-76.61065,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.299105,-76.607118,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2974817,-76.605097,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.301625,-76.614494,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3098883,-76.616468,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3200833,-76.617362,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.317432,-76.615572,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3220617,-76.613175,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.32222,-76.609403,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3200217,-76.607567,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3245533,-76.587248,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3236667,-76.581102,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3257717,-76.579838,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.32748,-76.573917,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.31766,-76.563483,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.30455,-76.57516,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3098033,-76.567832,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2949717,-76.57668,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.29781,-76.576607,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.294497,-76.583336,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.300355,-76.57382,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.30405,-76.569533,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.31988,-76.581583,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3195717,-76.57594,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3216783,-76.573618,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3203167,-76.56907,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.312733,-76.583995,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.31591,-76.573518,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3208117,-76.591303,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3213617,-76.599907,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3173233,-76.5972,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.313327,-76.601245,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3082367,-76.600797,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3094417,-76.609985,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3160267,-76.609735,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3132017,-76.609772,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3137283,-76.613212,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3150433,-76.61615,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3118817,-76.60277,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.310325,-76.604195,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.307167,-76.611041,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3007067,-76.60167,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2958133,-76.591223,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.299205,-76.593207,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2964533,-76.594517,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2976483,-76.589903,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.29964,-76.598512,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3027933,-76.590092,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3012467,-76.594142,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.307723,-76.595134,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.30856,-76.59932,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.303295,-76.594468,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3097583,-76.587848,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3072467,-76.578082,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.297835,-76.58133,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2996733,-76.586073,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3000233,-76.580195,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.30541,-76.581685,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.303955,-76.578235,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3133467,-76.591457,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.31736,-76.578725,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.305702,-76.570678,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3118933,-76.570693,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3128767,-76.572605,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.32386,-76.576902,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3111267,-76.583512,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.305688,-76.605344,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3085267,-76.591098,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3222183,-76.58934,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.322875,-76.604218,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3051617,-76.613765,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3120433,-76.56796,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.32457,-76.570062,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3152983,-76.581182,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3068033,-76.575212,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3053467,-76.59286,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"